incident_id,date,province,attack_type,sector,severity,incident_count,source_type,source,year,month,quarter
INC-000018,2023-01-31,Jawa Timur,DDoS,Perbankan & Keuangan,Critical,244,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000019,2023-01-31,Jawa Timur,Phishing,Media,Low,1487,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000020,2023-01-31,Sumatera Utara,Ransomware,Telekomunikasi,Low,540,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000021,2023-01-31,Sulawesi Selatan,Malware,Teknologi Informasi,High,1259,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000022,2023-01-31,Other,Cryptojacking,Kesehatan,Medium,417,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000023,2023-01-31,Other,Zero-Day Exploit,Transportasi,Low,91,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000024,2023-01-31,Bali,Brute Force,Teknologi Informasi,High,694,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000025,2023-01-31,DKI Jakarta,SQL Injection,Pemerintahan,Low,233,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000026,2023-01-31,Jawa Barat,Scam,Telekomunikasi,Medium,1685,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000027,2023-01-31,Jawa Timur,Social Engineering,Energi,Critical,987,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000028,2023-01-31,Jawa Timur,APT,Manufaktur,Medium,193,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000029,2023-01-31,Jawa Timur,Data Breach,Pemerintahan,Low,472,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000030,2023-02-09,Unknown,Social Engineering,Unknown,High,1,News,Tempo.co,2023,2,1
INC-000031,2023-02-10,Unknown,Social Engineering,Unknown,High,1,News,Tempo.co,2023,2,1
INC-000032,2023-02-19,Unknown,Data Breach,Unknown,High,1,News,Tempo.co,2023,2,1
INC-000033,2023-02-21,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,2,1
INC-000034,2023-02-22,Unknown,Phishing,Unknown,High,1,News,Tempo.co,2023,2,1
INC-000035,2023-02-23,Unknown,Social Engineering,Unknown,High,1,News,Detik.com,2023,2,1
INC-000036,2023-02-28,Unknown,DDoS,Unknown,High,1,News,Kompas.com,2023,2,1
INC-000037,2023-03-01,Unknown,Scam,Unknown,High,1,News,Kompas.com,2023,3,1
INC-000038,2023-03-02,DKI Jakarta,Cryptojacking,Retail & E-commerce,Low,144,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000039,2023-03-02,DKI Jakarta,Scam,Manufaktur,Medium,2945,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000040,2023-03-02,Jawa Timur,Social Engineering,Pemerintahan,Medium,1585,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000041,2023-03-02,Bali,APT,Perbankan & Keuangan,Medium,138,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000042,2023-03-02,Kalimantan Timur,Data Breach,Pendidikan,Critical,275,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000043,2023-03-02,Sulawesi Selatan,DDoS,Manufaktur,High,595,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000044,2023-03-02,Banten,Malware,Teknologi Informasi,Low,1716,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000045,2023-03-02,Sumatera Utara,Ransomware,Kesehatan,Low,792,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000046,2023-03-02,Jawa Timur,Phishing,Perbankan & Keuangan,Critical,1965,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000047,2023-03-02,DKI Jakarta,SQL Injection,Pendidikan,Medium,319,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000048,2023-03-02,Other,Brute Force,Pendidikan,Medium,931,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000049,2023-03-02,Kalimantan Timur,Zero-Day Exploit,Pemerintahan,Critical,27,Statistics,BSSN/Kominfo Statistics,2023,3,1
INC-000050,2023-03-15,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,3,1
INC-000051,2023-03-19,Unknown,DDoS,Unknown,High,1,News,Tempo.co,2023,3,1
INC-000052,2023-03-20,Unknown,Phishing,Unknown,High,1,News,Tempo.co,2023,3,1
INC-000053,2023-04-01,DKI Jakarta,APT,Energi,Critical,98,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000054,2023-04-01,Jawa Tengah,Brute Force,Transportasi,Medium,866,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000055,2023-04-01,Jawa Tengah,SQL Injection,Transportasi,Medium,336,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000056,2023-04-01,DKI Jakarta,Scam,Pemerintahan,Low,2646,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000057,2023-04-01,Sulawesi Selatan,Social Engineering,Pendidikan,Medium,1440,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000058,2023-04-01,DKI Jakarta,Data Breach,Pendidikan,High,494,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000059,2023-04-01,DKI Jakarta,DDoS,Kesehatan,Medium,186,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000060,2023-04-01,DKI Jakarta,Malware,Teknologi Informasi,Medium,1155,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000061,2023-04-01,Jawa Barat,Ransomware,Media,Low,925,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000062,2023-04-01,DKI Jakarta,Phishing,Energi,Critical,2015,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000063,2023-04-01,DKI Jakarta,Zero-Day Exploit,Teknologi Informasi,Low,94,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000064,2023-04-01,Jawa Barat,Cryptojacking,Manufaktur,Medium,305,Statistics,BSSN/Kominfo Statistics,2023,4,2
INC-000065,2023-04-12,Unknown,Ransomware,Unknown,High,1,News,Kompas.com,2023,4,2
INC-000066,2023-04-15,Unknown,Scam,Unknown,High,1,News,Tempo.co,2023,4,2
INC-000067,2023-05-01,DKI Jakarta,Phishing,Pendidikan,High,1935,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000068,2023-05-01,Banten,Ransomware,Telekomunikasi,Medium,1034,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000069,2023-05-01,DKI Jakarta,Malware,Energi,Low,1886,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000070,2023-05-01,DKI Jakarta,DDoS,Pendidikan,Medium,243,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000071,2023-05-01,Other,Data Breach,Pemerintahan,Low,579,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000072,2023-05-01,Other,Social Engineering,Energi,Medium,1564,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000073,2023-05-01,DKI Jakarta,Scam,Perbankan & Keuangan,Critical,2573,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000074,2023-05-01,Bali,SQL Injection,Teknologi Informasi,Medium,229,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000075,2023-05-01,DKI Jakarta,Brute Force,Media,Medium,467,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000076,2023-05-01,Sumatera Utara,Zero-Day Exploit,Energi,Low,74,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000077,2023-05-01,Bali,Cryptojacking,Kesehatan,Medium,425,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000078,2023-05-01,Jawa Tengah,APT,Pemerintahan,Critical,56,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000079,2023-05-13,Unknown,Malware,Unknown,High,1,News,Detik.com,2023,5,2
INC-000080,2023-05-13,Unknown,Phishing,Unknown,High,1,News,CNN Indonesia,2023,5,2
INC-000081,2023-05-21,Unknown,DDoS,Unknown,High,1,News,CNN Indonesia,2023,5,2
INC-000082,2023-05-25,Unknown,Ransomware,Unknown,High,1,News,Kompas.com,2023,5,2
INC-000083,2023-05-26,Unknown,Malware,Unknown,High,1,News,CNN Indonesia,2023,5,2
INC-000084,2023-05-31,Jawa Tengah,SQL Injection,Transportasi,Medium,360,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000085,2023-05-31,DKI Jakarta,Phishing,Kesehatan,Low,2436,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000086,2023-05-31,Jawa Tengah,Ransomware,Energi,Medium,1148,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000087,2023-05-31,DKI Jakarta,Malware,Kesehatan,Medium,1742,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000088,2023-05-31,Banten,DDoS,Manufaktur,Low,936,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000089,2023-05-31,DKI Jakarta,Data Breach,Kesehatan,Low,323,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000090,2023-05-31,Sumatera Utara,Zero-Day Exploit,Telekomunikasi,Medium,33,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000091,2023-05-31,DKI Jakarta,Cryptojacking,Pemerintahan,High,399,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000092,2023-05-31,Banten,APT,Energi,High,197,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000093,2023-05-31,Sulawesi Selatan,Brute Force,Retail & E-commerce,Low,801,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000094,2023-05-31,Jawa Barat,Scam,Media,Medium,2487,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000095,2023-05-31,Banten,Social Engineering,Perbankan & Keuangan,Medium,800,Statistics,BSSN/Kominfo Statistics,2023,5,2
INC-000096,2023-06-17,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,6,2
INC-000097,2023-06-19,Unknown,Phishing,Unknown,High,1,News,CNN Indonesia,2023,6,2
INC-000098,2023-06-30,Unknown,Ransomware,Unknown,High,1,News,Detik.com,2023,6,2
INC-000099,2023-06-30,Jawa Tengah,Phishing,Manufaktur,Low,2316,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000100,2023-06-30,DKI Jakarta,Zero-Day Exploit,Perbankan & Keuangan,Low,38,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000101,2023-06-30,DKI Jakarta,Ransomware,Retail & E-commerce,Medium,542,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000102,2023-06-30,Jawa Barat,Cryptojacking,Energi,Critical,133,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000103,2023-06-30,Sumatera Utara,Malware,Retail & E-commerce,Medium,2564,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000104,2023-06-30,DKI Jakarta,DDoS,Manufaktur,Low,266,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000105,2023-06-30,Bali,Data Breach,Pemerintahan,Low,246,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000106,2023-06-30,Jawa Tengah,Social Engineering,Perbankan & Keuangan,High,1628,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000107,2023-06-30,Jawa Tengah,Scam,Retail & E-commerce,Medium,4481,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000108,2023-06-30,Jawa Timur,SQL Injection,Perbankan & Keuangan,Critical,368,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000109,2023-06-30,Jawa Barat,APT,Telekomunikasi,Low,101,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000110,2023-06-30,Jawa Barat,Brute Force,Transportasi,High,709,Statistics,BSSN/Kominfo Statistics,2023,6,2
INC-000111,2023-07-14,Unknown,Social Engineering,Unknown,High,1,News,Kompas.com,2023,7,3
INC-000112,2023-07-15,Unknown,Scam,Unknown,High,1,News,Tempo.co,2023,7,3
INC-000113,2023-07-20,Unknown,Scam,Unknown,High,1,News,Kompas.com,2023,7,3
INC-000114,2023-07-28,Unknown,Data Breach,Unknown,High,1,News,Kompas.com,2023,7,3
INC-000115,2023-07-30,Jawa Timur,DDoS,Transportasi,Medium,514,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000116,2023-07-30,Jawa Timur,Ransomware,Pendidikan,High,739,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000117,2023-07-30,DKI Jakarta,Data Breach,Telekomunikasi,Medium,400,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000118,2023-07-30,Jawa Timur,Phishing,Kesehatan,Medium,2709,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000119,2023-07-30,Jawa Timur,Social Engineering,Kesehatan,Low,824,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000120,2023-07-30,Jawa Timur,APT,Kesehatan,Medium,123,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000121,2023-07-30,Jawa Tengah,SQL Injection,Retail & E-commerce,Critical,392,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000122,2023-07-30,Unknown,DDoS,Unknown,High,1,News,CNN Indonesia,2023,7,3
INC-000123,2023-07-30,Jawa Barat,Brute Force,Transportasi,Medium,476,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000124,2023-07-30,DKI Jakarta,Cryptojacking,Manufaktur,Medium,428,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000125,2023-07-30,Jawa Tengah,Zero-Day Exploit,Kesehatan,Medium,61,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000126,2023-07-30,DKI Jakarta,Scam,Teknologi Informasi,Low,3924,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000127,2023-07-30,Other,Malware,Perbankan & Keuangan,Critical,2307,Statistics,BSSN/Kominfo Statistics,2023,7,3
INC-000128,2023-08-27,Unknown,DDoS,Unknown,High,1,News,Tempo.co,2023,8,3
INC-000129,2023-08-29,DKI Jakarta,DDoS,Teknologi Informasi,Medium,447,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000130,2023-08-29,Other,Malware,Pendidikan,Low,2406,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000131,2023-08-29,Other,Phishing,Retail & E-commerce,Medium,1789,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000132,2023-08-29,Jawa Timur,Ransomware,Retail & E-commerce,Low,1127,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000133,2023-08-29,DKI Jakarta,Zero-Day Exploit,Kesehatan,Medium,32,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000134,2023-08-29,DKI Jakarta,Cryptojacking,Pemerintahan,Medium,195,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000135,2023-08-29,DKI Jakarta,APT,Retail & E-commerce,Medium,168,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000136,2023-08-29,Kalimantan Timur,Brute Force,Transportasi,Medium,622,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000137,2023-08-29,Sulawesi Selatan,SQL Injection,Kesehatan,Low,125,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000138,2023-08-29,Bali,Scam,Kesehatan,Medium,4249,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000139,2023-08-29,Bali,Social Engineering,Teknologi Informasi,Low,1143,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000140,2023-08-29,Jawa Tengah,Data Breach,Transportasi,Low,334,Statistics,BSSN/Kominfo Statistics,2023,8,3
INC-000141,2023-08-30,Unknown,Scam,Unknown,High,1,News,Detik.com,2023,8,3
INC-000142,2023-09-01,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,9,3
INC-000143,2023-09-02,Unknown,Phishing,Unknown,High,1,News,Detik.com,2023,9,3
INC-000144,2023-09-04,Unknown,Phishing,Unknown,High,1,News,Detik.com,2023,9,3
INC-000145,2023-09-09,Unknown,Ransomware,Unknown,High,1,News,Detik.com,2023,9,3
INC-000146,2023-09-28,Jawa Tengah,Cryptojacking,Transportasi,Medium,632,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000147,2023-09-28,Jawa Timur,Brute Force,Pendidikan,Medium,767,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000148,2023-09-28,Jawa Tengah,Phishing,Media,Medium,1407,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000149,2023-09-28,DKI Jakarta,Ransomware,Retail & E-commerce,Medium,694,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000150,2023-09-28,Jawa Tengah,Malware,Teknologi Informasi,Medium,2632,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000151,2023-09-28,Bali,DDoS,Telekomunikasi,Low,689,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000152,2023-09-28,DKI Jakarta,Data Breach,Manufaktur,Medium,438,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000153,2023-09-28,Banten,Social Engineering,Energi,Low,1092,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000154,2023-09-28,Sulawesi Selatan,Scam,Teknologi Informasi,Low,4556,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000155,2023-09-28,Bali,SQL Injection,Energi,Low,188,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000156,2023-09-28,Jawa Timur,Zero-Day Exploit,Kesehatan,Critical,48,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000157,2023-09-28,Jawa Barat,APT,Kesehatan,Low,180,Statistics,BSSN/Kominfo Statistics,2023,9,3
INC-000158,2023-09-29,Unknown,Social Engineering,Unknown,High,1,News,Kompas.com,2023,9,3
INC-000159,2023-10-08,Unknown,Phishing,Unknown,High,1,News,Kompas.com,2023,10,4
INC-000160,2023-10-15,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,10,4
INC-000161,2023-10-26,Unknown,Ransomware,Unknown,High,1,News,Detik.com,2023,10,4
INC-000162,2023-10-28,Jawa Timur,Scam,Transportasi,Medium,4505,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000163,2023-10-28,Bali,Social Engineering,Retail & E-commerce,Low,1079,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000164,2023-10-28,DKI Jakarta,Data Breach,Manufaktur,Low,612,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000165,2023-10-28,DKI Jakarta,APT,Pendidikan,Low,56,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000166,2023-10-28,Bali,Malware,Manufaktur,Low,2377,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000167,2023-10-28,Jawa Timur,DDoS,Pendidikan,Medium,890,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000168,2023-10-28,Jawa Barat,Cryptojacking,Perbankan & Keuangan,Medium,282,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000169,2023-10-28,Kalimantan Timur,Phishing,Retail & E-commerce,Medium,1717,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000170,2023-10-28,DKI Jakarta,Zero-Day Exploit,Perbankan & Keuangan,Low,45,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000171,2023-10-28,DKI Jakarta,SQL Injection,Energi,Low,334,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000172,2023-10-28,Jawa Tengah,Ransomware,Retail & E-commerce,Medium,698,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000173,2023-10-28,Jawa Barat,Brute Force,Pendidikan,Medium,403,Statistics,BSSN/Kominfo Statistics,2023,10,4
INC-000174,2023-10-31,Unknown,Malware,Unknown,High,1,News,Tempo.co,2023,10,4
INC-000175,2023-11-04,Unknown,Scam,Unknown,High,1,News,CNN Indonesia,2023,11,4
INC-000176,2023-11-27,Sulawesi Selatan,Phishing,Energi,Low,2072,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000177,2023-11-27,DKI Jakarta,Ransomware,Telekomunikasi,Low,715,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000178,2023-11-27,Sulawesi Selatan,Malware,Pemerintahan,Low,1542,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000179,2023-11-27,Other,DDoS,Manufaktur,Medium,513,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000180,2023-11-27,Jawa Tengah,Zero-Day Exploit,Retail & E-commerce,Low,27,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000181,2023-11-27,Jawa Barat,Cryptojacking,Perbankan & Keuangan,Medium,458,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000182,2023-11-27,Jawa Barat,APT,Kesehatan,Medium,76,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000183,2023-11-27,Banten,Brute Force,Perbankan & Keuangan,Medium,859,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000184,2023-11-27,DKI Jakarta,SQL Injection,Manufaktur,Medium,240,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000185,2023-11-27,Sumatera Utara,Scam,Kesehatan,Low,2242,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000186,2023-11-27,Kalimantan Timur,Social Engineering,Telekomunikasi,Medium,1222,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000187,2023-11-27,Sulawesi Selatan,Data Breach,Perbankan & Keuangan,High,494,Statistics,BSSN/Kominfo Statistics,2023,11,4
INC-000188,2023-11-29,Unknown,Malware,Unknown,High,1,News,Kompas.com,2023,11,4
INC-000189,2023-12-14,Unknown,Data Breach,Unknown,High,1,News,Kompas.com,2023,12,4
INC-000190,2023-12-26,Unknown,Ransomware,Unknown,High,1,News,Tempo.co,2023,12,4
INC-000191,2023-12-27,Unknown,Malware,Unknown,High,1,News,CNN Indonesia,2023,12,4
INC-000192,2023-12-27,DKI Jakarta,Malware,Transportasi,Medium,2193,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000193,2023-12-27,Jawa Barat,DDoS,Kesehatan,High,614,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000194,2023-12-27,Kalimantan Timur,Phishing,Pemerintahan,Medium,3228,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000195,2023-12-27,Jawa Barat,Ransomware,Retail & E-commerce,Critical,1568,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000196,2023-12-27,Sulawesi Selatan,Data Breach,Media,Low,656,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000197,2023-12-27,Jawa Timur,Social Engineering,Telekomunikasi,Medium,1054,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000198,2023-12-27,DKI Jakarta,Scam,Manufaktur,Low,5052,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000199,2023-12-27,Jawa Tengah,SQL Injection,Pemerintahan,Low,111,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000200,2023-12-27,Sumatera Utara,Zero-Day Exploit,Pemerintahan,High,42,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000201,2023-12-27,Jawa Barat,Brute Force,Perbankan & Keuangan,High,433,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000202,2023-12-27,Sumatera Utara,APT,Retail & E-commerce,Medium,182,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000203,2023-12-27,Bali,Cryptojacking,Retail & E-commerce,Low,631,Statistics,BSSN/Kominfo Statistics,2023,12,4
INC-000204,2024-01-08,Unknown,Phishing,Unknown,High,1,News,Kompas.com,2024,1,1
INC-000205,2024-01-15,Unknown,Ransomware,Unknown,High,1,News,Tempo.co,2024,1,1
INC-000206,2024-01-21,Unknown,Data Breach,Unknown,High,1,News,Tempo.co,2024,1,1
INC-000207,2024-01-26,Jawa Barat,Scam,Energi,Low,5401,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000208,2024-01-26,Jawa Timur,SQL Injection,Energi,Low,249,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000209,2024-01-26,DKI Jakarta,APT,Pendidikan,Medium,103,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000210,2024-01-26,Bali,Cryptojacking,Manufaktur,Medium,396,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000211,2024-01-26,Kalimantan Timur,Brute Force,Manufaktur,Medium,914,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000212,2024-01-26,Sumatera Utara,Data Breach,Perbankan & Keuangan,High,592,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000213,2024-01-26,Sulawesi Selatan,DDoS,Retail & E-commerce,Medium,668,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000214,2024-01-26,DKI Jakarta,Malware,Pemerintahan,Medium,1918,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000215,2024-01-26,DKI Jakarta,Ransomware,Energi,Medium,668,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000216,2024-01-26,Jawa Barat,Social Engineering,Teknologi Informasi,Medium,1615,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000217,2024-01-26,Jawa Barat,Zero-Day Exploit,Telekomunikasi,Medium,44,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000218,2024-01-26,DKI Jakarta,Phishing,Teknologi Informasi,High,2011,Statistics,BSSN/Kominfo Statistics,2024,1,1
INC-000219,2024-02-03,Unknown,Malware,Unknown,High,1,News,Kompas.com,2024,2,1
INC-000220,2024-02-08,Unknown,Scam,Unknown,High,1,News,Tempo.co,2024,2,1
INC-000221,2024-02-14,Unknown,DDoS,Unknown,High,1,News,Tempo.co,2024,2,1
