title,url,source,date,content,scraped_at,category
Iranian Infy APT Resurfaces with New Malware Activity After Years of Silence,https://thehackernews.com/2025/12/iranian-infy-apt-resurfaces-with-new.html,The Hacker News,2025-12-21 09:52:00+05:30,"Threat hunters have discerned new activity associated with an Iranian threat actor known as Infy (aka Prince of Persia), nearly five years after the hacking group was observed targeting victims in Sweden, the Netherlands, and Turkey.
""The scale of Prince of Persia's activity is more significant than we originally anticipated,"" Tomer Bar, vice president of security research at SafeBreach, said",2025-12-24 13:44:33.698181,Cyber Security
U.S. DOJ Charges 54 in ATM Jackpotting Scheme Using Ploutus Malware,https://thehackernews.com/2025/12/us-doj-charges-54-in-atm-jackpotting.html,The Hacker News,2025-12-20 19:18:00+05:30,"The U.S. Department of Justice (DoJ) this week announced the indictment of 54 individuals in connection with a multi-million dollar ATM jackpotting scheme.
The large-scale conspiracy involved deploying malware named Ploutus to hack into automated teller machines (ATMs) across the U.S. and force them to dispense cash. The indicted members are alleged to be part of Tren de Aragua (TdA, Spanish for",2025-12-24 13:44:33.699470,Cyber Security
Russia-Linked Hackers Use Microsoft 365 Device Code Phishing for Account Takeovers,https://thehackernews.com/2025/12/russia-linked-hackers-use-microsoft-365.html,The Hacker News,2025-12-19 23:24:00+05:30,"A suspected Russia-aligned group has been attributed to a phishing campaign that employs device code authentication workflows to steal victims' Microsoft 365 credentials and conduct account takeover attacks.
The activity, ongoing since September 2025, is being tracked by Proofpoint under the moniker UNK_AcademicFlare.
The attacks involve using compromised email addresses belonging to government",2025-12-24 13:44:33.700658,Cyber Security
Cracked Software and YouTube Videos Spread CountLoader and GachiLoader Malware,https://thehackernews.com/2025/12/cracked-software-and-youtube-videos.html,The Hacker News,2025-12-19 21:04:00+05:30,"Cybersecurity researchers have disclosed details of a new campaign that has used cracked software distribution sites as a distribution vector for a new version of a modular and stealthy loader known as CountLoader.
The campaign ""uses CountLoader as the initial tool in a multistage attack for access, evasion, and delivery of additional malware families,"" Cyderes Howler Cell Threat Intelligence",2025-12-24 13:44:33.701852,Cyber Security
WatchGuard Warns of Active Exploitation of Critical Fireware OS VPN Vulnerability,https://thehackernews.com/2025/12/watchguard-warns-of-active-exploitation.html,The Hacker News,2025-12-19 16:53:00+05:30,"WatchGuard has released fixes to address a critical security flaw in Fireware OS that it said has been exploited in real-world attacks.
Tracked as CVE-2025-14733 (CVSS score: 9.3), the vulnerability has been described as a case of out-of-bounds write affecting the iked process that could allow a remote unauthenticated attacker to execute arbitrary code.
""This vulnerability affects both the",2025-12-24 13:44:33.703104,Cyber Security
Nigeria Arrests RaccoonO365 Phishing Developer Linked to Microsoft 365 Attacks,https://thehackernews.com/2025/12/nigeria-arrests-raccoono365-phishing.html,The Hacker News,2025-12-19 15:56:00+05:30,"Authorities in Nigeria have announced the arrest of three ""high-profile internet fraud suspects"" who are alleged to have been involved in phishing attacks targeting major corporations, including the main developer behind the RaccoonO365 phishing-as-a-service (PhaaS) scheme.
The Nigeria Police Force National Cybercrime Centre (NPF–NCCC) said investigations conducted in collaboration with",2025-12-24 13:44:33.704498,Cyber Security
"New UEFI Flaw Enables Early-Boot DMA Attacks on ASRock, ASUS, GIGABYTE, MSI Motherboards",https://thehackernews.com/2025/12/new-uefi-flaw-enables-early-boot-dma.html,The Hacker News,2025-12-19 13:55:00+05:30,"Certain motherboard models from vendors like ASRock, ASUSTeK Computer, GIGABYTE, and MSI are affected by a security vulnerability that leaves them susceptible to early-boot direct memory access (DMA) attacks across architectures that implement a Unified Extensible Firmware Interface (UEFI) and input–output memory management unit (IOMMU).
UEFI and IOMMU are designed to enforce a security",2025-12-24 13:44:33.706073,Cyber Security
China-Aligned Threat Group Uses Windows Group Policy to Deploy Espionage Malware,https://thehackernews.com/2025/12/china-aligned-threat-group-uses-windows.html,The Hacker News,2025-12-18 23:04:00+05:30,"A previously undocumented China-aligned threat cluster dubbed LongNosedGoblin has been attributed to a series of cyber attacks targeting governmental entities in Southeast Asia and Japan.
The end goal of these attacks is cyber espionage, Slovak cybersecurity company ESET said in a report published today. The threat activity cluster has been assessed to be active since at least September 2023.
""",2025-12-24 13:44:33.707396,Cyber Security
HPE OneView Flaw Rated CVSS 10.0 Allows Unauthenticated Remote Code Execution,https://thehackernews.com/2025/12/hpe-oneview-flaw-rated-cvss-100-allows.html,The Hacker News,2025-12-18 20:09:00+05:30,"Hewlett Packard Enterprise (HPE) has resolved a maximum-severity security flaw in OneView Software that, if successfully exploited, could result in remote code execution.
The critical vulnerability, assigned the CVE identifier CVE-2025-37164, carries a CVSS score of 10.0. HPE OneView is an IT infrastructure management software that streamlines IT operations and controls all systems via a",2025-12-24 13:44:33.708507,Cyber Security
"ThreatsDay Bulletin: WhatsApp Hijacks, MCP Leaks, AI Recon, React2Shell Exploit and 15 More Stories",https://thehackernews.com/2025/12/threatsday-bulletin-whatsapp-hijacks.html,The Hacker News,2025-12-18 18:40:00+05:30,"This week’s ThreatsDay Bulletin tracks how attackers keep reshaping old tools and finding new angles in familiar systems. Small changes in tactics are stacking up fast, and each one hints at where the next big breach could come from.
From shifting infrastructures to clever social hooks, the week’s activity shows just how fluid the threat landscape has become.
Here’s the full rundown of what",2025-12-24 13:44:33.709581,Cyber Security
"North Korea-Linked Hackers Steal $2.02 Billion in 2025, Leading Global Crypto Theft",https://thehackernews.com/2025/12/north-korea-linked-hackers-steal-202.html,The Hacker News,2025-12-18 18:30:00+05:30,"Threat actors with ties to the Democratic People's Republic of Korea (DPRK or North Korea) have been instrumental in driving a surge in global cryptocurrency theft in 2025, accounting for at least $2.02 billion out of more than $3.4 billion stolen from January through early December.
The figure represents a 51% increase year-over-year and $681 million more than 2024, when the threat actors stole",2025-12-24 13:44:33.710585,Cyber Security
The Case for Dynamic AI-SaaS Security as Copilots Scale,https://thehackernews.com/2025/12/the-case-for-dynamic-ai-saas-security.html,The Hacker News,2025-12-18 17:00:00+05:30,"Within the past year, artificial intelligence copilots and agents have quietly permeated the SaaS applications businesses use every day. Tools like Zoom, Slack, Microsoft 365, Salesforce, and ServiceNow now come with built-in AI assistants or agent-like features. Virtually every major SaaS vendor has rushed to embed AI into their offerings.
The result is an explosion of AI capabilities across",2025-12-24 13:44:33.711656,Cyber Security
Kimsuky Spreads DocSwap Android Malware via QR Phishing Posing as Delivery App,https://thehackernews.com/2025/12/kimsuky-spreads-docswap-android-malware.html,The Hacker News,2025-12-18 13:13:00+05:30,"The North Korean threat actor known as Kimsuky has been linked to a new campaign that distributes a new variant of Android malware called DocSwap via QR codes hosted on phishing sites mimicking Seoul-based logistics firm CJ Logistics (formerly CJ Korea Express).
""The threat actor leveraged QR codes and notification pop-ups to lure victims into installing and executing the malware on their mobile",2025-12-24 13:44:33.712825,Cyber Security
CISA Flags Critical ASUS Live Update Flaw After Evidence of Active Exploitation,https://thehackernews.com/2025/12/cisa-flags-critical-asus-live-update.html,The Hacker News,2025-12-18 10:31:00+05:30,"The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Wednesday added a critical flaw impacting ASUS Live Update to its Known Exploited Vulnerabilities (KEV) catalog, citing evidence of active exploitation.
The vulnerability, tracked as CVE-2025-59374 (CVSS score: 9.3), has been described as an ""embedded malicious code vulnerability"" introduced by means of a supply chain compromise",2025-12-24 13:44:33.714808,Cyber Security
Cisco Warns of Active Attacks Exploiting Unpatched 0-Day in AsyncOS Email Security Appliances,https://thehackernews.com/2025/12/cisco-warns-of-active-attacks.html,The Hacker News,2025-12-18 09:40:00+05:30,"Cisco has alerted users to a maximum-severity zero-day flaw in Cisco AsyncOS software that has been actively exploited by a China-nexus advanced persistent threat (APT) actor codenamed UAT-9686 in attacks targeting Cisco Secure Email Gateway and Cisco Secure Email and Web Manager.
The networking equipment major said it became aware of the intrusion campaign on December 10, 2025, and that it",2025-12-24 13:44:33.716177,Cyber Security
WebRAT malware spread via fake vulnerability exploits on GitHub,https://www.bleepingcomputer.com/news/security/webrat-malware-spread-via-fake-vulnerability-exploits-on-github/,BleepingComputer,,The WebRAT malware is now being distributed through GitHub repositories that claim to host proof-of-concept exploits for recently disclosed vulnerabilities. [...],2025-12-24 13:44:33.838741,Cyber Security
Microsoft Teams strengthens messaging security by default in January,https://www.bleepingcomputer.com/news/microsoft/microsoft-teams-strengthens-messaging-security-by-default-in-january/,BleepingComputer,,Microsoft Teams will automatically enable messaging safety features by default in January to strengthen defenses against content tagged as malicious. [...],2025-12-24 13:44:33.840184,Cyber Security
"Cyberattack knocks offline France's postal, banking services",https://www.bleepingcomputer.com/news/security/cyberattack-knocks-offline-frances-postal-banking-services/,BleepingComputer,,"The French national postal service's online services were knocked offline by ""a major network incident"" on Monday, disrupting digital banking and other services for millions. [...]",2025-12-24 13:44:33.841830,Cyber Security
"Baker University says 2024 data breach impacts 53,000 people",https://www.bleepingcomputer.com/news/security/baker-university-data-breach-impacts-over-53-000-individuals/,BleepingComputer,,"Baker University has disclosed a data breach after attackers gained access to its network one year ago and stole the personal, health, and financial information of over 53,000 individuals. [...]",2025-12-24 13:44:33.843157,Cyber Security
Nissan says thousands of customers exposed in Red Hat breach,https://www.bleepingcomputer.com/news/security/nissan-says-thousands-of-customers-exposed-in-red-hat-breach/,BleepingComputer,,Nissan Motor Co. Ltd. (Nissan) has confirmed that information of thousands of its customers has been compromised after the data breach at Red Hat in September. [...],2025-12-24 13:44:33.844359,Cyber Security
New MacSync malware dropper evades macOS Gatekeeper checks,https://www.bleepingcomputer.com/news/security/new-macsync-malware-dropper-evades-macos-gatekeeper-checks/,BleepingComputer,,"The latest variant of the MacSync information stealer targeting macOS systems is delivered through a digitally signed, notarized Swift application. [...]",2025-12-24 13:44:33.845584,Cyber Security
"Interpol-led action decrypts 6 ransomware strains, arrests hundreds",https://www.bleepingcomputer.com/news/security/interpol-led-action-decrypts-6-ransomware-strains-arrests-hundreds/,BleepingComputer,,"An Interpol-coordinated initiative called Operation Sentinel led to the arrest of 574 individuals and the recovery of $3 million linked to business email compromise, extortion, and ransomware incidents. [...]",2025-12-24 13:44:33.846639,Cyber Security
Romanian water authority hit by ransomware attack over weekend,https://www.bleepingcomputer.com/news/security/romanian-water-authority-hit-by-ransomware-attack-over-weekend/,BleepingComputer,,"Romanian Waters (Administrația Națională Apele Române), the country's water management authority, was hit by a ransomware attack over the weekend. [...]",2025-12-24 13:44:33.847708,Cyber Security
University of Phoenix data breach impacts nearly 3.5 million individuals,https://www.bleepingcomputer.com/news/security/university-of-phoenix-data-breach-impacts-nearly-35-million-individuals/,BleepingComputer,,"The Clop ransomware gang has stolen the data of nearly 3.5 million University of Phoenix (UoPX) students, staff, and suppliers after breaching the university's network in August. [...]",2025-12-24 13:44:33.849131,Cyber Security
Coupang breach affecting 33.7 million users raises data protection questions,https://www.bleepingcomputer.com/news/security/coupang-breach-affecting-337-million-users-raises-data-protection-questions/,BleepingComputer,,Coupang disclosed a data breach affecting 33.7 million customers after unauthorized access to personal data went undetected for nearly five months. Penta Security explains how the incident highlights insider credential abuse risks and why encrypting customer data beyond legal requirements can reduce exposure and limit damage. [...],2025-12-24 13:44:33.851088,Cyber Security
ServiceNow to Acquire Armis for $7.75 Billion in Cash,https://www.securityweek.com/servicenow-to-acquire-armis-for-7-75-billion-in-cash/,SecurityWeek,,"Rumors of a possible buyout surfaced earlier this month, with the official announcement coming just weeks after Armis announced raising $435 million.
The post ServiceNow to Acquire Armis for $7.75 Billion in Cash appeared first on SecurityWeek.
",2025-12-24 13:44:35.697911,Cyber Security
Nissan Confirms Impact From Red Hat Data Breach,https://www.securityweek.com/nissan-confirms-impact-from-red-hat-data-breach/,SecurityWeek,,"The personal information of 21,000 customers was stolen after hackers compromised Red Hat’s GitLab instances.
The post Nissan Confirms Impact From Red Hat Data Breach appeared first on SecurityWeek.
",2025-12-24 13:44:35.699747,Cyber Security
Feds Seize Password Database Used in Massive Bank Account Takeover Scheme,https://www.securityweek.com/feds-seize-password-database-used-in-massive-bank-account-takeover-scheme/,SecurityWeek,,"The cybercriminals attempted to steal $28 million from compromised bank accounts through phishing.
The post Feds Seize Password Database Used in Massive Bank Account Takeover Scheme appeared first on SecurityWeek.
",2025-12-24 13:44:35.701241,Cyber Security
"NPM Package With 56,000 Downloads Steals WhatsApp Credentials, Data",https://www.securityweek.com/npm-package-with-56000-downloads-steals-whatsapp-credentials-data/,SecurityWeek,,"The package provides legitimate functionality to evade detection, while stealing users’ data and deploying a backdoor.
The post NPM Package With 56,000 Downloads Steals WhatsApp Credentials, Data appeared first on SecurityWeek.
",2025-12-24 13:44:35.702825,Cyber Security
Italy Antitrust Agency Fines Apple $116 Million Over Privacy Feature; Apple Announces Appeal,https://www.securityweek.com/italy-antitrust-agency-fines-apple-116-million-over-privacy-feature-apple-announces-appeal/,SecurityWeek,,"Italy’s antitrust authority fined Apple $116 million after determining that operating one of its privacy features restricted App Store competition.
The post Italy Antitrust Agency Fines Apple $116 Million Over Privacy Feature; Apple Announces Appeal appeared first on SecurityWeek.
",2025-12-24 13:44:35.704736,Cyber Security
"574 Arrested, $3 Million Seized in Crackdown on African Cybercrime Rings",https://www.securityweek.com/574-arrested-3-million-seized-in-crackdown-on-african-cybercrime-rings/,SecurityWeek,,"Authorities in Senegal, Ghana, Benin, and Cameroon dismantled BEC, ransomware, and other cyber-fraud networks.
The post 574 Arrested, $3 Million Seized in Crackdown on African Cybercrime Rings appeared first on SecurityWeek.
",2025-12-24 13:44:35.706865,Cyber Security
3.5 Million Affected by University of Phoenix Data Breach,https://www.securityweek.com/3-5-million-affected-by-university-of-phoenix-data-breach/,SecurityWeek,,"The University of Phoenix is one of the many victims of the recent Oracle EBS hacking campaign attributed to the Cl0p ransomware group.
The post 3.5 Million Affected by University of Phoenix Data Breach appeared first on SecurityWeek.
",2025-12-24 13:44:35.709184,Cyber Security
Cyberattack Disrupts France’s Postal Service and Banking During Christmas Rush,https://www.securityweek.com/cyberattack-disrupts-frances-postal-service-and-banking-during-christmas-rush/,SecurityWeek,,"A cyberattack knocked France’s national postal service offline, blocking and delaying package deliveries and online payments.
The post Cyberattack Disrupts France’s Postal Service and Banking During Christmas Rush appeared first on SecurityWeek.
",2025-12-24 13:44:35.711225,Cyber Security
Rising Tides: When Cybersecurity Becomes Personal – Inside the Work of an OSINT Investigator,https://www.securityweek.com/rising-tides-when-cybersecurity-becomes-personal-inside-the-work-of-an-osint-investigator/,SecurityWeek,,"Shannon Miller shares her approach to creating domestic safety and a call to the cyber community to help reduce harm.
The post Rising Tides: When Cybersecurity Becomes Personal – Inside the Work of an OSINT Investigator appeared first on SecurityWeek.
",2025-12-24 13:44:35.712944,Cyber Security
ATM Hackers Using ‘Ploutus’ Malware Charged in US,https://www.securityweek.com/54-charged-in-us-over-atm-attacks-involving-ploutus-malware/,SecurityWeek,,"The Department of Justice charged 54 individuals, including leaders and members of the Venezuelan crime syndicate Tren de Aragua.
The post ATM Hackers Using ‘Ploutus’ Malware Charged in US appeared first on SecurityWeek.
",2025-12-24 13:44:35.714642,Cyber Security
Industry Continues to Push Back on HIPAA Security Rule Overhaul,https://www.darkreading.com/cyber-risk/industry-oppose-hipaa-security-rule-overhaul,Dark Reading,,"Healthcare cyberattacks are on the rise, but industry organizations say the proposed changes to the security rules fall short of what's needed.",2025-12-24 13:44:36.418834,Cyber Security
"ServiceNow Buys Armis for $7.75B, Boosts 'AI Control Tower'",https://www.darkreading.com/cybersecurity-operations/servicenow-buys-armis-gets-ai-control-tower,Dark Reading,,"Its latest cybersecurity acquisition will help further ServiceNow's plans for autonomous cybersecurity, and building a security stack to proactively manage AI.",2025-12-24 13:44:36.421334,Cyber Security
"Amazon Fends Off 1,800 Suspected DPRK IT Job Scammers",https://www.darkreading.com/remote-workforce/amazon-fends-off-dprk-it-job-scammers,Dark Reading,,"The tech giant has been beset by a deluge of state-sponsored North Korean operatives, showcasing the sheer scale of the IT worker scam problem.",2025-12-24 13:44:36.424597,Cyber Security
Sprawling 'Operation Sentinel' Neutralizes African Cybercrime Syndicates,https://www.darkreading.com/threat-intelligence/operation-sentinel-african-cybercrime-syndicates,Dark Reading,,"Interpol said law enforcement across 19 countries made 574 arrests and recovered $3 million, against a backdrop of spiraling cybercrime in the region, including business email compromise, digital extortion, and ransomware schemes.",2025-12-24 13:44:36.427636,Cyber Security
Threat Actors Exploit Zero-Day in WatchGuard Firebox Devices,https://www.darkreading.com/vulnerabilities-threats/threat-actors-zero-day-watchguard-firebox,Dark Reading,,"With attacks on the critical firewall vulnerability, WatchGuard joins a list of edge device vendors whose products have been targeted in recent weeks.",2025-12-24 13:44:36.429656,Cyber Security
Uzbek Users Under Attack by Android SMS-Stealers,https://www.darkreading.com/cyber-risk/uzbek-users-android-sms-stealers,Dark Reading,,"Telegram users in Uzbekistan are being targeted with Android SMS-stealer malware, and what's worse, the attackers are improving their methods.",2025-12-24 13:44:36.431153,Cyber Security
"Cisco VPNs, Email Services Hit in Separate Threat Campaigns",https://www.darkreading.com/endpoint-security/cisco-vpns-email-services-threat-campaigns,Dark Reading,,"The company suffered one sophisticated five-alarm campaign and one messy spray-and-pray attack, mere days apart.",2025-12-24 13:44:36.432462,Cyber Security
LongNosedGoblin Caught Snooping on Asian Governments,https://www.darkreading.com/threat-intelligence/longnosedgoblin-caught-snooping-on-asian-governments,Dark Reading,,New China-aligned APT group is deploying Group Policy to sniff through government networks across Southeast Asia and Japan.,2025-12-24 13:44:36.433566,Cyber Security
Identity Fraud Among Home-Care Workers Puts Patients at Risk,https://www.darkreading.com/identity-access-management-security/identity-fraud-among-home-care-workers-puts-patients-at-risk,Dark Reading,,"Reports of patients being cared for by unqualified home-care aides with fake identities continue to emerge, highlighting a need for more stringent identity authentication.",2025-12-24 13:44:36.434931,Cyber Security
A Cybersecurity Playbook for AI Adoption,https://www.darkreading.com/cyber-risk/cybersecurity-playbook-ai-adoption,Dark Reading,,"AI adds real value to cybersecurity today, but it cannot yet serve as a single security guardian. Here's how organizations can safely combine AI-driven analysis with deterministic rules and proven security practices.",2025-12-24 13:44:36.436429,Cyber Security
A Good Year for North Korean Cybercriminals,https://www.darkreading.com/cyberattacks-data-breaches/good-year-north-korean-cybercriminals,Dark Reading,,"North Korea shifted its strategy to patiently target ""bigger fish"" for larger payouts, using sophisticated methods to execute attacks at opportune times.",2025-12-24 13:44:36.438314,Cyber Security
SonicWall Edge Access Devices Hit by Zero-Day Attacks,https://www.darkreading.com/vulnerabilities-threats/sonicwall-edge-devices-zero-day-attacks,Dark Reading,,"In the latest attacks against the vendor's SMA1000 devices, threat actors have chained a new zero-day flaw with a critical vulnerability disclosed earlier this year.",2025-12-24 13:44:36.440634,Cyber Security
"Dormant Iran APT is Still Alive, Spying on Dissidents",https://www.darkreading.com/threat-intelligence/iran-apt-spying-dissidents,Dark Reading,,"""Prince of Persia"" has rewritten the rules of persistence with advanced operational security and cryptographic communication with its command-and-control server.",2025-12-24 13:44:36.442465,Cyber Security
Critical Fortinet Flaws Under Active Attack,https://www.darkreading.com/cyberattacks-data-breaches/critical-fortinet-flaws-under-active-attack,Dark Reading,,"Attackers are targeting admin accounts, and once authenticated, exporting device configurations including hashed credentials and other sensitive information.",2025-12-24 13:44:36.444282,Cyber Security
"In Cybersecurity, Claude Leaves Other LLMs in the Dust",https://www.darkreading.com/cybersecurity-analytics/cybersecurity-claude-llms,Dark Reading,,"Anthropic proves that LLMs can be fairly resistant to abuse. Most developers are either incapable of building safer tools, or unwilling to invest in doing so.",2025-12-24 13:44:36.448121,Cyber Security
Nate Nelson,https://threatpost.com/author/natenelson/,Threatpost,,,2025-12-24 13:44:37.894220,Cyber Security
Threatpost,https://threatpost.com/author/threatpost/,Threatpost,,,2025-12-24 13:44:37.894389,Cyber Security
Elizabeth Montalbano,https://threatpost.com/author/elizabeth-montalbano/,Threatpost,,,2025-12-24 13:44:37.894452,Cyber Security
Is your Java up to date?,https://threatpost.com/your-java-date-022309/72384/,Threatpost,,,2025-12-24 13:44:37.894468,Cyber Security
Top 5 Tips to Avoid Viruses and Spyware,https://threatpost.com/top-5-tips-avoid-viruses-and-spyware-022309/72383/,Threatpost,,,2025-12-24 13:44:37.894480,Cyber Security
U.S. needs to investigate cyberweapons,https://threatpost.com/us-needs-investigate-cyberweapons-022409/72778/,Threatpost,,,2025-12-24 13:44:37.894519,Cyber Security
"Six months later, DNS still taking a hit",https://threatpost.com/six-months-later-dns-still-taking-hit-022409/72382/,Threatpost,,,2025-12-24 13:44:37.894530,Cyber Security
Pwn2Own 2009: Browsers and smart phones are targets,https://threatpost.com/pwn2own-2009-browsers-and-smart-phones-are-targets-022509/72380/,Threatpost,,,2025-12-24 13:44:37.894542,Cyber Security
PodcastsView all,https://threatpost.com/category/podcasts/,Threatpost,,,2025-12-24 13:44:37.894703,Cyber Security
VideosView all,https://threatpost.com/category/videos/,Threatpost,,,2025-12-24 13:44:37.894811,Cyber Security
