article_id,title,content,source,published_date,attack_type_mentioned,sector_mentioned,province_mentioned,sentiment,word_count,scraped_at
NEWS-000011,Kominfo Blokir 103 Situs Terkait Hacking,"Laporan terbaru menunjukkan adanya kasus Hacking yang menargetkan 
            sektor Pendidikan di wilayah Surabaya. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 25 July 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2024-07-25,Hacking,Pendidikan,Surabaya,neutral,44,2025-12-24 12:38:01.494383
NEWS-000012,Kominfo Blokir 551 Situs Terkait Ransomware,"Laporan terbaru menunjukkan adanya kasus Ransomware yang menargetkan 
            sektor Telekomunikasi di wilayah Yogyakarta. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 07 April 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",kompas.com,2021-04-07,Ransomware,Telekomunikasi,Yogyakarta,neutral,44,2025-12-24 12:38:01.494425
NEWS-000013,BSSN Ungkap Lonjakan Kasus Skimming Sepanjang 2023,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Kesehatan di wilayah Semarang. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 15 May 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",kompas.com,2023-05-15,Skimming,Kesehatan,Semarang,positive,44,2025-12-24 12:38:01.494452
NEWS-000014,Waspada! Modus Baru Skimming Melalui Email,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pemerintahan di wilayah Medan. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 07 March 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2023-03-07,Skimming,Pemerintahan,Medan,negative,44,2025-12-24 12:38:01.494479
NEWS-000015,Kerugian Akibat Skimming Capai Rp 307 Miliar,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor UMKM di wilayah Jakarta. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 23 June 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2021-06-23,Skimming,UMKM,Jakarta,neutral,44,2025-12-24 12:38:01.494506
NEWS-000016,Waspada! Modus Baru Kebocoran Data Melalui Email,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Perbankan di wilayah Surabaya. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 19 August 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2023-08-19,Kebocoran Data,Perbankan,Surabaya,positive,45,2025-12-24 12:38:01.494533
NEWS-000017,Kasus DDoS di Bali Meningkat 145%,"Laporan terbaru menunjukkan adanya kasus DDoS yang menargetkan 
            sektor Pemerintahan di wilayah Bali. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 13 August 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",republika.co.id,2021-08-13,DDoS,Pemerintahan,Bali,positive,44,2025-12-24 12:38:01.494571
NEWS-000018,Kasus Kebocoran Data di Yogyakarta Meningkat 142%,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Kesehatan di wilayah Yogyakarta. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 17 November 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2022-11-17,Kebocoran Data,Kesehatan,Yogyakarta,negative,45,2025-12-24 12:38:01.494602
NEWS-000019,BSSN Ungkap Lonjakan Kasus Social Engineering Sepanjang 2022,"Laporan terbaru menunjukkan adanya kasus Social Engineering yang menargetkan 
            sektor Perbankan di wilayah Makassar. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 28 May 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2022-05-28,Social Engineering,Perbankan,Makassar,neutral,45,2025-12-24 12:38:01.494630
NEWS-000020,Serangan Kebocoran Data Menargetkan E-Commerce di Jakarta,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor E-Commerce di wilayah Jakarta. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 02 September 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-09-02,Kebocoran Data,E-Commerce,Jakarta,neutral,45,2025-12-24 12:38:01.494658
NEWS-000021,Pemerintahan Indonesia Jadi Target Utama Skimming,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pemerintahan di wilayah Makassar. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 07 May 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2022-05-07,Skimming,Pemerintahan,Makassar,negative,44,2025-12-24 12:38:01.494692
NEWS-000022,Kominfo Blokir 699 Situs Terkait Social Engineering,"Laporan terbaru menunjukkan adanya kasus Social Engineering yang menargetkan 
            sektor Telekomunikasi di wilayah Yogyakarta. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 03 December 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2023-12-03,Social Engineering,Telekomunikasi,Yogyakarta,negative,45,2025-12-24 12:38:01.494720
NEWS-000023,Polri Tangkap Pelaku Ransomware yang Rugikan Korban Rp 98 Juta,"Laporan terbaru menunjukkan adanya kasus Ransomware yang menargetkan 
            sektor Fintech di wilayah Surabaya. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 29 June 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2021-06-29,Ransomware,Fintech,Surabaya,negative,44,2025-12-24 12:38:01.494750
NEWS-000024,BSSN Ungkap Lonjakan Kasus Penipuan Online Sepanjang 2023,"Laporan terbaru menunjukkan adanya kasus Penipuan Online yang menargetkan 
            sektor UMKM di wilayah Jawa Barat. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 10 May 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",republika.co.id,2023-05-10,Penipuan Online,UMKM,Jawa Barat,negative,46,2025-12-24 12:38:01.494779
NEWS-000025,Perbankan Indonesia Jadi Target Utama Hacking,"Laporan terbaru menunjukkan adanya kasus Hacking yang menargetkan 
            sektor Perbankan di wilayah Jawa Timur. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 02 May 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-05-02,Hacking,Perbankan,Jawa Timur,negative,45,2025-12-24 12:38:01.494807
NEWS-000026,Kasus Penipuan Online di Surabaya Meningkat 158%,"Laporan terbaru menunjukkan adanya kasus Penipuan Online yang menargetkan 
            sektor Pemerintahan di wilayah Surabaya. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 12 September 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",kompas.com,2022-09-12,Penipuan Online,Pemerintahan,Surabaya,neutral,45,2025-12-24 12:38:01.494834
NEWS-000027,Serangan Phishing Menargetkan Startup di Medan,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor Startup di wilayah Medan. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 06 May 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2023-05-06,Phishing,Startup,Medan,negative,44,2025-12-24 12:38:01.494863
NEWS-000028,BSSN Ungkap Lonjakan Kasus Kebocoran Data Sepanjang 2022,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Telekomunikasi di wilayah Jawa Barat. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 23 January 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2022-01-23,Kebocoran Data,Telekomunikasi,Jawa Barat,negative,46,2025-12-24 12:38:01.494890
NEWS-000029,Pendidikan Kehilangan Data Jutaan Pengguna Akibat Skimming,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pendidikan di wilayah Bandung. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 05 August 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2022-08-05,Skimming,Pendidikan,Bandung,neutral,44,2025-12-24 12:38:01.494920
NEWS-000030,Waspada! Modus Baru Penipuan Online Melalui QR Code,"Laporan terbaru menunjukkan adanya kasus Penipuan Online yang menargetkan 
            sektor Pendidikan di wilayah Jawa Barat. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 05 December 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2022-12-05,Penipuan Online,Pendidikan,Jawa Barat,negative,46,2025-12-24 12:38:01.494946
NEWS-000031,Kasus Malware di Semarang Meningkat 72%,"Laporan terbaru menunjukkan adanya kasus Malware yang menargetkan 
            sektor Pemerintahan di wilayah Semarang. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 12 October 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2021-10-12,Malware,Pemerintahan,Semarang,negative,44,2025-12-24 12:38:01.494976
NEWS-000032,Kasus Malware di Jakarta Meningkat 179%,"Laporan terbaru menunjukkan adanya kasus Malware yang menargetkan 
            sektor UMKM di wilayah Jakarta. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 06 May 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2022-05-06,Malware,UMKM,Jakarta,negative,44,2025-12-24 12:38:01.495003
NEWS-000033,BSSN Ungkap Lonjakan Kasus Skimming Sepanjang 2023,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pemerintahan di wilayah Bandung. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 02 April 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2023-04-02,Skimming,Pemerintahan,Bandung,negative,44,2025-12-24 12:38:01.495030
NEWS-000034,Waspada! Modus Baru Phishing Melalui Aplikasi Berbahaya,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor E-Commerce di wilayah Yogyakarta. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 16 October 2020. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2020-10-16,Phishing,E-Commerce,Yogyakarta,neutral,44,2025-12-24 12:38:01.495056
NEWS-000035,Waspada! Modus Baru DDoS Melalui Website Palsu,"Laporan terbaru menunjukkan adanya kasus DDoS yang menargetkan 
            sektor Startup di wilayah Medan. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 28 January 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2021-01-28,DDoS,Startup,Medan,neutral,44,2025-12-24 12:38:01.495084
NEWS-000036,Kerugian Akibat Skimming Capai Rp 299 Miliar,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Perbankan di wilayah Semarang. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 03 June 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-06-03,Skimming,Perbankan,Semarang,negative,44,2025-12-24 12:38:01.495114
NEWS-000037,Serangan Social Engineering Menargetkan Fintech di Surabaya,"Laporan terbaru menunjukkan adanya kasus Social Engineering yang menargetkan 
            sektor Fintech di wilayah Surabaya. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 13 February 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2023-02-13,Social Engineering,Fintech,Surabaya,neutral,45,2025-12-24 12:38:01.495147
NEWS-000038,Pemerintahan Indonesia Jadi Target Utama DDoS,"Laporan terbaru menunjukkan adanya kasus DDoS yang menargetkan 
            sektor Pemerintahan di wilayah Yogyakarta. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 04 October 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2024-10-04,DDoS,Pemerintahan,Yogyakarta,negative,44,2025-12-24 12:38:01.495175
NEWS-000039,BSSN Ungkap Lonjakan Kasus Hacking Sepanjang 2022,"Laporan terbaru menunjukkan adanya kasus Hacking yang menargetkan 
            sektor Perbankan di wilayah Bali. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 23 July 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-07-23,Hacking,Perbankan,Bali,neutral,44,2025-12-24 12:38:01.495202
NEWS-000040,Perbankan Indonesia Jadi Target Utama Kebocoran Data,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Perbankan di wilayah Surabaya. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 13 February 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2021-02-13,Kebocoran Data,Perbankan,Surabaya,neutral,45,2025-12-24 12:38:01.495229
NEWS-000041,Kominfo Blokir 192 Situs Terkait Skimming,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pendidikan di wilayah Jakarta. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 26 October 2020. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",kompas.com,2020-10-26,Skimming,Pendidikan,Jakarta,negative,44,2025-12-24 12:38:01.495267
NEWS-000042,Kominfo Blokir 404 Situs Terkait Social Engineering,"Laporan terbaru menunjukkan adanya kasus Social Engineering yang menargetkan 
            sektor Pendidikan di wilayah Yogyakarta. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 28 June 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-06-28,Social Engineering,Pendidikan,Yogyakarta,negative,45,2025-12-24 12:38:01.495297
NEWS-000043,Kominfo Blokir 382 Situs Terkait Phishing,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor UMKM di wilayah Medan. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 26 July 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2024-07-26,Phishing,UMKM,Medan,neutral,44,2025-12-24 12:38:01.495323
NEWS-000044,BSSN Ungkap Lonjakan Kasus Malware Sepanjang 2020,"Laporan terbaru menunjukkan adanya kasus Malware yang menargetkan 
            sektor UMKM di wilayah Bandung. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 21 December 2020. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2020-12-21,Malware,UMKM,Bandung,negative,44,2025-12-24 12:38:01.495351
NEWS-000045,Telekomunikasi Indonesia Jadi Target Utama Hacking,"Laporan terbaru menunjukkan adanya kasus Hacking yang menargetkan 
            sektor Telekomunikasi di wilayah Jawa Timur. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 18 May 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2022-05-18,Hacking,Telekomunikasi,Jawa Timur,negative,45,2025-12-24 12:38:01.495380
NEWS-000046,Kominfo Blokir 533 Situs Terkait Social Engineering,"Laporan terbaru menunjukkan adanya kasus Social Engineering yang menargetkan 
            sektor Startup di wilayah Bali. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 29 January 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",cnnindonesia.com,2023-01-29,Social Engineering,Startup,Bali,neutral,45,2025-12-24 12:38:01.495420
NEWS-000047,Waspada! Modus Baru Skimming Melalui Link Palsu,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Pendidikan di wilayah Jawa Barat. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 20 December 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2021-12-20,Skimming,Pendidikan,Jawa Barat,negative,45,2025-12-24 12:38:01.495455
NEWS-000048,Serangan Kebocoran Data Menargetkan Startup di Makassar,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Startup di wilayah Makassar. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 12 December 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2023-12-12,Kebocoran Data,Startup,Makassar,neutral,45,2025-12-24 12:38:01.495484
NEWS-000049,Kominfo Blokir 924 Situs Terkait Penipuan Online,"Laporan terbaru menunjukkan adanya kasus Penipuan Online yang menargetkan 
            sektor Telekomunikasi di wilayah Surabaya. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 11 October 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2023-10-11,Penipuan Online,Telekomunikasi,Surabaya,negative,45,2025-12-24 12:38:01.495514
NEWS-000050,Kasus Penipuan Online di Medan Meningkat 44%,"Laporan terbaru menunjukkan adanya kasus Penipuan Online yang menargetkan 
            sektor Perbankan di wilayah Medan. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 10 March 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2021-03-10,Penipuan Online,Perbankan,Medan,positive,45,2025-12-24 12:38:01.495546
