date,year,month,attack_type,sector,province,incident_count,financial_loss_million_idr,severity,detection_rate_percent,avg_response_time_hours,source,data_type
2023-05-31,2023,5,DDoS,Manufaktur,Banten,936,41184,Low,59,157.39,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Data Breach,Kesehatan,DKI Jakarta,323,9044,Low,59,157.63,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Social Engineering,Perbankan & Keuangan,Banten,800,6400,Medium,85,35.25,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Scam/Fraud,Media,Jawa Barat,2487,87045,Medium,72,64.3,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,SQL Injection,Transportasi,Jawa Tengah,360,12240,Medium,60,44.9,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Brute Force,Retail & E-commerce,Sulawesi Selatan,801,6408,Low,85,106.69,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,APT,Energi,Banten,197,6698,High,56,7.79,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Cryptojacking,Pemerintahan,DKI Jakarta,399,15960,High,49,22.84,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Zero-Day Exploit,Telekomunikasi,Sumatera Utara,33,957,Medium,76,49.41,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Phishing,Manufaktur,Jawa Tengah,2316,16212,Low,60,119.19,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Ransomware,Retail & E-commerce,DKI Jakarta,542,27100,Medium,70,58.04,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Malware,Retail & E-commerce,Sumatera Utara,2564,107688,Medium,45,27.71,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,DDoS,Manufaktur,DKI Jakarta,266,6650,Low,51,106.35,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Data Breach,Pemerintahan,Bali,246,6150,Low,63,159.32,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Social Engineering,Perbankan & Keuangan,Jawa Tengah,1628,26048,High,65,8.26,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Scam/Fraud,Retail & E-commerce,Jawa Tengah,4481,156835,Medium,81,39.19,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,SQL Injection,Perbankan & Keuangan,Jawa Timur,368,11776,Critical,62,4.73,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Brute Force,Transportasi,Jawa Barat,709,9217,High,54,15.01,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,APT,Telekomunikasi,Jawa Barat,101,1414,Low,63,103.99,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Cryptojacking,Energi,Jawa Barat,133,6384,Critical,83,2.12,BSSN/Kominfo Statistics,internal_structured
2023-06-30,2023,6,Zero-Day Exploit,Perbankan & Keuangan,DKI Jakarta,38,1140,Low,84,94.79,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Phishing,Kesehatan,Jawa Timur,2709,83979,Medium,40,30.16,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Ransomware,Pendidikan,Jawa Timur,739,11085,High,44,13.83,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Malware,Perbankan & Keuangan,Lainnya,2307,78438,Critical,73,6.0,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,DDoS,Transportasi,Jawa Timur,514,22102,Medium,59,26.62,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Data Breach,Telekomunikasi,DKI Jakarta,400,13600,Medium,40,44.22,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Social Engineering,Kesehatan,Jawa Timur,824,9064,Low,59,109.27,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Scam/Fraud,Teknologi Informasi,DKI Jakarta,3924,70632,Low,62,82.62,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,SQL Injection,Retail & E-commerce,Jawa Tengah,392,12544,Critical,45,2.27,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Brute Force,Transportasi,Jawa Barat,476,15232,Medium,43,68.28,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,APT,Kesehatan,Jawa Timur,123,4551,Medium,64,35.25,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Cryptojacking,Manufaktur,DKI Jakarta,428,11556,Medium,73,61.2,BSSN/Kominfo Statistics,internal_structured
2023-07-30,2023,7,Zero-Day Exploit,Kesehatan,Jawa Tengah,61,1281,Medium,73,29.74,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Phishing,Retail & E-commerce,Lainnya,1789,66193,Medium,54,46.89,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Ransomware,Retail & E-commerce,Jawa Timur,1127,20286,Low,63,105.71,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Malware,Pendidikan,Lainnya,2406,72180,Low,81,84.07,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,DDoS,Teknologi Informasi,DKI Jakarta,447,7152,Medium,57,35.75,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Data Breach,Transportasi,Jawa Tengah,334,16366,Low,42,105.06,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Social Engineering,Teknologi Informasi,Bali,1143,46863,Low,60,84.31,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Scam/Fraud,Kesehatan,Bali,4249,106225,Medium,82,31.75,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,SQL Injection,Kesehatan,Sulawesi Selatan,125,4250,Low,61,100.02,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Brute Force,Transportasi,Kalimantan Timur,622,22392,Medium,75,59.3,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,APT,Retail & E-commerce,DKI Jakarta,168,4200,Medium,84,69.09,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Cryptojacking,Pemerintahan,DKI Jakarta,195,6630,Medium,47,64.74,BSSN/Kominfo Statistics,internal_structured
2023-08-29,2023,8,Zero-Day Exploit,Kesehatan,DKI Jakarta,32,736,Medium,50,54.95,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Phishing,Media,Jawa Tengah,1407,61908,Medium,78,27.75,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Ransomware,Retail & E-commerce,DKI Jakarta,694,18738,Medium,49,57.23,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Malware,Teknologi Informasi,Jawa Tengah,2632,23688,Medium,47,63.07,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,DDoS,Telekomunikasi,Bali,689,22048,Low,42,95.93,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Data Breach,Manufaktur,DKI Jakarta,438,4380,Medium,58,53.99,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Social Engineering,Energi,Banten,1092,44772,Low,63,155.76,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Scam/Fraud,Teknologi Informasi,Sulawesi Selatan,4556,95676,Low,48,125.03,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,SQL Injection,Energi,Bali,188,3196,Low,54,91.23,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Brute Force,Pendidikan,Jawa Timur,767,13806,Medium,58,48.18,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,APT,Kesehatan,Jawa Barat,180,4140,Low,61,94.0,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Cryptojacking,Transportasi,Jawa Tengah,632,24016,Medium,42,35.04,BSSN/Kominfo Statistics,internal_structured
2023-09-28,2023,9,Zero-Day Exploit,Kesehatan,Jawa Timur,48,1920,Critical,72,5.6,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Phishing,Retail & E-commerce,Kalimantan Timur,1717,63529,Medium,54,37.37,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Ransomware,Retail & E-commerce,Jawa Tengah,698,33504,Medium,56,25.59,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Malware,Manufaktur,Bali,2377,85572,Low,65,150.62,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,DDoS,Pendidikan,Jawa Timur,890,29370,Medium,70,71.03,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Data Breach,Manufaktur,DKI Jakarta,612,29988,Low,47,72.57,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Social Engineering,Retail & E-commerce,Bali,1079,7553,Low,51,88.97,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Scam/Fraud,Transportasi,Jawa Timur,4505,139655,Medium,49,24.48,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,SQL Injection,Energi,DKI Jakarta,334,2672,Low,83,143.38,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Brute Force,Pendidikan,Jawa Barat,403,8060,Medium,50,32.21,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,APT,Pendidikan,DKI Jakarta,56,1848,Low,67,88.08,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Cryptojacking,Perbankan & Keuangan,Jawa Barat,282,4230,Medium,41,53.79,BSSN/Kominfo Statistics,internal_structured
2023-10-28,2023,10,Zero-Day Exploit,Perbankan & Keuangan,DKI Jakarta,45,2025,Low,58,105.75,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Phishing,Energi,Sulawesi Selatan,2072,74592,Low,51,129.42,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Ransomware,Telekomunikasi,DKI Jakarta,715,8580,Low,82,162.62,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Malware,Pemerintahan,Sulawesi Selatan,1542,77100,Low,84,165.42,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,DDoS,Manufaktur,Lainnya,513,19494,Medium,61,25.34,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Data Breach,Perbankan & Keuangan,Sulawesi Selatan,494,19266,High,47,11.89,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Social Engineering,Telekomunikasi,Kalimantan Timur,1222,59878,Medium,68,67.68,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Scam/Fraud,Kesehatan,Sumatera Utara,2242,31388,Low,54,147.07,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,SQL Injection,Manufaktur,DKI Jakarta,240,5280,Medium,44,60.14,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Brute Force,Perbankan & Keuangan,Banten,859,24911,Medium,79,44.49,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,APT,Kesehatan,Jawa Barat,76,2280,Medium,81,31.19,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Cryptojacking,Perbankan & Keuangan,Jawa Barat,458,21526,Medium,82,63.47,BSSN/Kominfo Statistics,internal_structured
2023-11-27,2023,11,Zero-Day Exploit,Retail & E-commerce,Jawa Tengah,27,1053,Low,80,160.27,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Phishing,Pemerintahan,Kalimantan Timur,3228,119436,Medium,54,60.06,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Ransomware,Retail & E-commerce,Jawa Barat,1568,78400,Critical,58,5.21,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Malware,Transportasi,DKI Jakarta,2193,50439,Medium,44,46.58,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,DDoS,Kesehatan,Jawa Barat,614,28858,High,50,21.73,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Data Breach,Media,Sulawesi Selatan,656,28864,Low,60,107.92,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Social Engineering,Telekomunikasi,Jawa Timur,1054,49538,Medium,77,58.32,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Scam/Fraud,Manufaktur,DKI Jakarta,5052,136404,Low,58,167.44,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,SQL Injection,Pemerintahan,Jawa Tengah,111,5328,Low,83,98.15,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Brute Force,Perbankan & Keuangan,Jawa Barat,433,11258,High,43,22.38,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,APT,Retail & E-commerce,Sumatera Utara,182,7098,Medium,75,40.08,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Cryptojacking,Retail & E-commerce,Bali,631,14513,Low,44,103.18,BSSN/Kominfo Statistics,internal_structured
2023-12-27,2023,12,Zero-Day Exploit,Pemerintahan,Sumatera Utara,42,1722,High,73,9.22,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Phishing,Teknologi Informasi,DKI Jakarta,2011,92506,High,62,9.58,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Ransomware,Energi,DKI Jakarta,668,12024,Medium,80,70.68,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Malware,Pemerintahan,DKI Jakarta,1918,53704,Medium,85,68.03,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,DDoS,Retail & E-commerce,Sulawesi Selatan,668,30060,Medium,59,24.42,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Data Breach,Perbankan & Keuangan,Sumatera Utara,592,15392,High,59,6.57,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Social Engineering,Teknologi Informasi,Jawa Barat,1615,17765,Medium,55,69.62,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Scam/Fraud,Energi,Jawa Barat,5401,189035,Low,68,129.2,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,SQL Injection,Energi,Jawa Timur,249,10458,Low,46,139.57,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Brute Force,Manufaktur,Kalimantan Timur,914,14624,Medium,68,61.03,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,APT,Pendidikan,DKI Jakarta,103,4120,Medium,66,32.53,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Cryptojacking,Manufaktur,Bali,396,18612,Medium,76,55.67,BSSN/Kominfo Statistics,internal_structured
2024-01-26,2024,1,Zero-Day Exploit,Telekomunikasi,Jawa Barat,44,1980,Medium,81,34.75,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Phishing,Transportasi,Jawa Barat,1390,33360,Medium,47,43.31,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Ransomware,Media,Jawa Barat,1137,54576,Medium,56,65.8,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Malware,Transportasi,Jawa Barat,3079,92370,Low,56,126.57,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,DDoS,Teknologi Informasi,Sumatera Utara,420,12600,Low,60,124.56,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Data Breach,Transportasi,DKI Jakarta,734,32296,Critical,61,1.55,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Social Engineering,Manufaktur,Sumatera Utara,2090,22990,Medium,43,41.83,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Scam/Fraud,Kesehatan,Jawa Barat,5282,79230,High,75,19.18,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,SQL Injection,Manufaktur,DKI Jakarta,384,8832,Medium,56,35.03,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Brute Force,Media,DKI Jakarta,742,20776,High,75,8.7,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,APT,Retail & E-commerce,Jawa Tengah,105,1575,Medium,79,45.72,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Cryptojacking,Manufaktur,Sumatera Utara,241,7230,Critical,67,5.81,BSSN/Kominfo Statistics,internal_structured
2024-02-25,2024,2,Zero-Day Exploit,Teknologi Informasi,Banten,36,720,Medium,77,54.07,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Phishing,Pendidikan,Jawa Barat,1993,65769,High,54,23.1,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Ransomware,Energi,DKI Jakarta,1041,28107,Medium,42,53.41,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Malware,Pendidikan,Jawa Barat,1586,69784,High,75,11.35,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,DDoS,Transportasi,Jawa Timur,500,16000,Medium,62,62.85,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Data Breach,Retail & E-commerce,Jawa Timur,810,8100,Medium,67,41.65,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Social Engineering,Pemerintahan,Jawa Timur,1908,32436,Low,76,162.09,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Scam/Fraud,Perbankan & Keuangan,Jawa Tengah,4998,169932,High,53,12.17,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,SQL Injection,Manufaktur,Banten,265,10600,High,63,15.25,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Brute Force,Perbankan & Keuangan,Bali,747,37350,Medium,73,57.87,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,APT,Teknologi Informasi,Jawa Barat,148,6956,High,78,18.5,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Cryptojacking,Media,Jawa Timur,711,19908,Medium,54,38.56,BSSN/Kominfo Statistics,internal_structured
2024-03-26,2024,3,Zero-Day Exploit,Kesehatan,Jawa Barat,77,2156,Medium,79,26.84,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,Phishing,Pendidikan,Lainnya,3093,95883,Low,44,89.3,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,Ransomware,Energi,DKI Jakarta,830,22410,Medium,56,54.46,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,Malware,Pemerintahan,Lainnya,1699,33980,High,49,10.64,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,DDoS,Energi,DKI Jakarta,708,32568,Medium,72,68.96,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,Data Breach,Perbankan & Keuangan,Bali,359,10052,Critical,70,1.53,BSSN/Kominfo Statistics,internal_structured
2024-04-25,2024,4,Social Engineering,Media,Jawa Barat,2086,95956,Medium,85,66.11,BSSN/Kominfo Statistics,internal_structured
