title,url,source,date,content,scraped_at,data_type
Waspada! Phishing Meningkat 21% di Bali,https://example.com/news/3,Kompas.com,2023-10-08,Kejadian phishing yang menargetkan sektor kesehatan di Bali semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polisi Ungkap Penipuan Online yang Rugikan UMKM Hingga Rp 4842 Juta,https://example.com/news/4,Detik.com,2023-08-30,Kejadian penipuan online yang menargetkan sektor umkm di Jawa Barat semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus penipuan online untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
497 Kasus Scam Menyerang Sektor Kesehatan di Sumatera Utara,https://example.com/news/5,CNN Indonesia,2024-05-16,Kejadian scam yang menargetkan sektor kesehatan di Sumatera Utara semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kominfo: 303 Laporan Data Breach dalam Sebulan Terakhir,https://example.com/news/6,CNN Indonesia,2023-01-24,Kejadian data breach yang menargetkan sektor perbankan di DKI Jakarta semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus data breach untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
477 Kasus Penipuan Online Menyerang Sektor E-commerce di Sumatera Utara,https://example.com/news/7,Kompas.com,2023-01-27,Kejadian penipuan online yang menargetkan sektor e-commerce di Sumatera Utara semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus penipuan online untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kesehatan di Sulawesi Selatan Jadi Target Phishing,https://example.com/news/8,CNN Indonesia,2024-04-27,Kejadian phishing yang menargetkan sektor kesehatan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
30 Kasus Social Engineering Menyerang Sektor Kesehatan di Jawa Timur,https://example.com/news/9,Tempo.co,2023-02-10,Kejadian social engineering yang menargetkan sektor kesehatan di Jawa Timur semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus social engineering untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Serangan Scam ke Pemerintahan Naik 48% di 2023,https://example.com/news/10,Detik.com,2024-04-28,Kejadian scam yang menargetkan sektor pemerintahan di Jawa Barat semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Bali Catat 294 Kasus Ransomware pada Juni,https://example.com/news/11,Kompas.com,2023-04-12,Kejadian ransomware yang menargetkan sektor kesehatan di Bali semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ransomware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
173 Kasus Phishing Menyerang Sektor UMKM di Sulawesi Selatan,https://example.com/news/12,Kompas.com,2024-10-14,Kejadian phishing yang menargetkan sektor umkm di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
BSSN Deteksi 495 Serangan DDoS ke Pemerintahan,https://example.com/news/13,CNN Indonesia,2023-05-21,Kejadian ddos yang menargetkan sektor pemerintahan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ddos untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kerugian Malware Capai Rp 3618 Juta di Jawa Tengah,https://example.com/news/14,Detik.com,2023-05-13,Kejadian malware yang menargetkan sektor telekomunikasi di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kerugian DDoS Capai Rp 4602 Juta di Jawa Tengah,https://example.com/news/15,CNN Indonesia,2023-07-30,Kejadian ddos yang menargetkan sektor kesehatan di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ddos untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kominfo: 422 Laporan Malware dalam Sebulan Terakhir,https://example.com/news/16,Tempo.co,2024-02-24,Kejadian malware yang menargetkan sektor e-commerce di Bali semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
158 Kasus Phishing Menyerang Sektor Perbankan di Jawa Timur,https://example.com/news/17,CNN Indonesia,2024-08-12,Kejadian phishing yang menargetkan sektor perbankan di Jawa Timur semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
BSSN Deteksi 482 Serangan Ransomware ke E-commerce,https://example.com/news/18,Detik.com,2023-09-09,Kejadian ransomware yang menargetkan sektor e-commerce di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ransomware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Sulawesi Selatan Tangani 151 Kasus Ransomware,https://example.com/news/19,Detik.com,2023-06-30,Kejadian ransomware yang menargetkan sektor pemerintahan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ransomware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Jawa Barat Tangani 186 Kasus Social Engineering,https://example.com/news/20,Kompas.com,2023-09-29,Kejadian social engineering yang menargetkan sektor perbankan di Jawa Barat semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus social engineering untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
68 Kasus Data Breach Menyerang Sektor Pemerintahan di Jawa Timur,https://example.com/news/21,Kompas.com,2023-12-14,Kejadian data breach yang menargetkan sektor pemerintahan di Jawa Timur semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus data breach untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
427 Kasus Social Engineering Menyerang Sektor E-commerce di Jawa Timur,https://example.com/news/22,CNN Indonesia,2024-10-18,Kejadian social engineering yang menargetkan sektor e-commerce di Jawa Timur semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus social engineering untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Jawa Tengah Tangani 456 Kasus Data Breach,https://example.com/news/23,Tempo.co,2023-02-19,Kejadian data breach yang menargetkan sektor umkm di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus data breach untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Sulawesi Selatan Catat 451 Kasus Malware pada Februari,https://example.com/news/24,Tempo.co,2023-10-31,Kejadian malware yang menargetkan sektor kesehatan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Waspada! Ransomware Meningkat 36% di DKI Jakarta,https://example.com/news/25,Tempo.co,2024-01-15,Kejadian ransomware yang menargetkan sektor e-commerce di DKI Jakarta semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ransomware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polisi Ungkap Penipuan Online yang Rugikan E-commerce Hingga Rp 2690 Juta,https://example.com/news/26,Detik.com,2024-10-27,Kejadian penipuan online yang menargetkan sektor e-commerce di Banten semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus penipuan online untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
E-commerce di Bali Jadi Target Social Engineering,https://example.com/news/27,CNN Indonesia,2024-10-20,Kejadian social engineering yang menargetkan sektor e-commerce di Bali semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus social engineering untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
210 Kasus Malware Menyerang Sektor Telekomunikasi di Jawa Tengah,https://example.com/news/28,Kompas.com,2024-09-13,Kejadian malware yang menargetkan sektor telekomunikasi di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kominfo: 291 Laporan Ransomware dalam Sebulan Terakhir,https://example.com/news/29,Tempo.co,2023-12-26,Kejadian ransomware yang menargetkan sektor perbankan di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ransomware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Waspada! Scam Meningkat 32% di Sumatera Utara,https://example.com/news/30,CNN Indonesia,2023-10-15,Kejadian scam yang menargetkan sektor telekomunikasi di Sumatera Utara semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kominfo: 17 Laporan Social Engineering dalam Sebulan Terakhir,https://example.com/news/31,CNN Indonesia,2024-11-19,Kejadian social engineering yang menargetkan sektor pendidikan di DKI Jakarta semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus social engineering untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Sulawesi Selatan Tangani 79 Kasus Phishing,https://example.com/news/32,Detik.com,2023-09-04,Kejadian phishing yang menargetkan sektor perbankan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
BSSN Deteksi 31 Serangan Malware ke UMKM,https://example.com/news/33,Kompas.com,2024-02-03,Kejadian malware yang menargetkan sektor umkm di DKI Jakarta semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polisi Ungkap Scam yang Rugikan Perbankan Hingga Rp 1552 Juta,https://example.com/news/34,Kompas.com,2024-05-25,Kejadian scam yang menargetkan sektor perbankan di Sumatera Utara semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Kerugian DDoS Capai Rp 4353 Juta di Banten,https://example.com/news/35,Tempo.co,2023-08-27,Kejadian ddos yang menargetkan sektor umkm di Banten semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus ddos untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
BSSN Deteksi 118 Serangan Data Breach ke Kesehatan,https://example.com/news/36,CNN Indonesia,2024-09-08,Kejadian data breach yang menargetkan sektor kesehatan di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus data breach untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Jawa Barat Tangani 63 Kasus Scam,https://example.com/news/37,Tempo.co,2024-02-08,Kejadian scam yang menargetkan sektor pendidikan di Jawa Barat semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polda Jawa Tengah Tangani 447 Kasus Malware,https://example.com/news/38,CNN Indonesia,2023-12-27,Kejadian malware yang menargetkan sektor perbankan di Jawa Tengah semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus malware untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polisi Ungkap Scam yang Rugikan Perbankan Hingga Rp 2341 Juta,https://example.com/news/39,CNN Indonesia,2023-09-01,Kejadian scam yang menargetkan sektor perbankan di Jawa Barat semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus scam untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
